dataset,condition,seed,threshold_label,threshold_source,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,negative_predictive_value,f1,true_negative,false_positive,false_negative,true_positive,auroc,pr_auc
CheXpert validation,original,42,fixed_0.5,historical fixed threshold,0.5,0.6618998978549541,0.6910271838069673,0.6239316239316239,0.7581227436823105,0.8673267326732673,0.4430379746835443,0.7257663628831814,210,67,264,438,0.7542143643226676,0.8640119711366624
CheXpert validation,original,42,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.4219265282154083,0.7221654749744637,0.7068226932847872,0.7421652421652422,0.6714801444043321,0.8513071895424836,0.5068119891008175,0.7929984779299848,186,91,181,521,0.7542143643226676,0.8640119711366624
CheXpert validation,original,123,fixed_0.5,historical fixed threshold,0.5,0.6976506639427987,0.7028423174632561,0.6908831908831908,0.7148014440433214,0.8599290780141844,0.4771084337349398,0.7661927330173776,198,79,217,485,0.7588941343453979,0.8690315588470194
CheXpert validation,original,123,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.4547370970249176,0.7293156281920327,0.705251627634299,0.7606837606837606,0.6498194945848376,0.8462757527733756,0.5172413793103449,0.8012003000750187,180,97,168,534,0.7588941343453979,0.8690315588470194
CheXpert validation,original,2026,fixed_0.5,historical fixed threshold,0.5,0.7272727272727273,0.7027343227704239,0.7592592592592593,0.6462093862815884,0.8446909667194928,0.514367816091954,0.7996999249812453,179,98,169,533,0.7588427083011922,0.8748198603452819
CheXpert validation,original,2026,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.5345039367675781,0.7139938712972421,0.7109599185411459,0.717948717948718,0.703971119133574,0.8600682593856656,0.4961832061068702,0.782608695652174,195,82,198,504,0.7588427083011922,0.8748198603452819
CheXpert validation,hard_masked,42,fixed_0.5,historical fixed threshold,0.5,0.6996935648621042,0.6845963569790285,0.7193732193732194,0.6498194945848376,0.8388704318936877,0.47745358090185674,0.7745398773006135,180,97,197,505,0.7548263342487169,0.8830489836730908
CheXpert validation,hard_masked,42,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.5608569383621216,0.6659856996935649,0.6982474004134653,0.6239316239316239,0.7725631768953068,0.874251497005988,0.4476987447698745,0.7281795511221946,214,63,264,438,0.7548263342487169,0.8830489836730908
CheXpert validation,hard_masked,123,fixed_0.5,historical fixed threshold,0.5,0.693564862104188,0.6803228527055242,0.7108262108262108,0.6498194945848376,0.837248322147651,0.4699738903394256,0.7688751926040062,180,97,203,499,0.7359118351898135,0.8535067659237769
CheXpert validation,hard_masked,123,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.6264943480491638,0.634320735444331,0.6903740730455532,0.5612535612535613,0.8194945848375451,0.8873873873873874,0.42429906542056073,0.68760907504363,227,50,308,394,0.7359118351898135,0.8535067659237769
CheXpert validation,hard_masked,2026,fixed_0.5,historical fixed threshold,0.5,0.710929519918284,0.7022663457681508,0.7222222222222222,0.6823104693140795,0.8521008403361344,0.4921875,0.781804163454125,189,88,195,507,0.7543583572464438,0.8736561424134595
CheXpert validation,hard_masked,2026,validation_youden_j,"CheXpert validation, same run (in-sample operating point)",0.4857967495918274,0.7272727272727273,0.7092911434066669,0.7507122507122507,0.6678700361010831,0.851373182552504,0.5138888888888888,0.7978803936411809,185,92,175,527,0.7543583572464438,0.8736561424134595
RSNA external,original,42,fixed_0.5,historical fixed threshold,0.5,0.7655898665867187,0.6905248616544002,0.5538922155688623,0.8271575077399381,0.48239895697522817,0.864415348061271,0.5156794425087108,17099,3573,2682,3330,0.7909839908032232,0.4664853458729694
RSNA external,original,42,validation_youden_j,CheXpert validation original seed 42,0.4219265282154083,0.7259406385849198,0.7219680543453856,0.7147371922821024,0.7291989164086687,0.4342597271349166,0.8978497825957472,0.540265292009807,15074,5598,1715,4297,0.7909839908032232,0.4664853458729694
RSNA external,hard_masked,42,fixed_0.5,historical fixed threshold,0.5,0.6223954429620746,0.6902314437173125,0.8137059214903526,0.5667569659442725,0.353264009243212,0.9127454035525085,0.49264853977844913,11716,8956,1120,4892,0.7488436319118729,0.42500378353257406
RSNA external,hard_masked,42,validation_youden_j,CheXpert validation hard_masked seed 42,0.5608569383621216,0.6853170439214511,0.6838351161454181,0.6811377245508982,0.6865325077399381,0.3872340425531915,0.880998199764107,0.49376017362995117,14192,6480,1917,4095,0.7488436319118729,0.42500378353257406
