dataset,model,N,Brier,NLL,ECE15
CheXpert_test,Original42,990,0.2156797512528735,0.6214338238289865,0.19421753680381076
CheXpert_test,Complementary,990,0.18031447400520637,0.5465403426652079,0.06935150917122425
CheXpert_test,FrozenFusion65_35,990,0.19025698009112318,0.562294495666962,0.13298420648974146
RSNA,Original42,26684,0.19816949764213046,0.5880785918102684,0.22470871079196553
RSNA,Complementary,26684,0.20067882678967933,0.6074944995086734,0.23743279086645924
RSNA,FrozenFusion65_35,26684,0.194428052647591,0.5761733421129268,0.23280672058025842
PadChest_full,Original42,95757,0.14307516209558563,0.46427436413003575,0.28690894456688026
PadChest_full,Complementary,95757,0.10322667306643539,0.3660204767588222,0.22498848279280337
PadChest_full,FrozenFusion65_35,95757,0.1217617835202039,0.41151174453772404,0.262217863665738
PadChest_Physician,Original42,24536,0.12139134101236475,0.414406373552403,0.2565602118870286
PadChest_Physician,Complementary,24536,0.10405110628959423,0.3696524428882734,0.23032849436399003
PadChest_Physician,FrozenFusion65_35,24536,0.11028038235859983,0.3841125912026036,0.24556696373842885
