Alpha_Original,Beta_Complementary,Validation_AUROC,Validation_AUPRC,Delta_AUROC_vs_Original,Delta_AUPRC_vs_Original
0.5,0.5,0.7655435218612113,0.8712123317164606,0.009349254836619303,0.00452225475835899
0.55,0.44999999999999996,0.7657852242689788,0.871163258004591,0.009590957244386744,0.004473181046489416
0.6,0.4,0.7658777911485493,0.8714628398376802,0.009683524123957232,0.004772762879578618
0.65,0.35,0.765240108200397,0.871039555804587,0.00904584117580498,0.0043494788464853995
0.7,0.30000000000000004,0.7648184146379091,0.8707016142886048,0.00862414761331709,0.00401153733050319
0.75,0.25,0.763872175424522,0.8699424731364649,0.007677908399929989,0.0032523961783632593
0.8,0.19999999999999996,0.7628436545404054,0.8686757139406669,0.006649387515813343,0.0019856369825652642
0.85,0.15000000000000002,0.761172308103716,0.867942270570881,0.004978041079124029,0.0012521936127793953
0.9,0.09999999999999998,0.7596089563598588,0.8670413280877679,0.003414689335266785,0.0003512511296662746
0.95,0.050000000000000044,0.7579581803408519,0.8673789020369708,0.001763913316259913,0.0006888250788691375
1.0,0.0,0.756194267024592,0.8666900769581016,0.0,0.0
